time,open,high,low,close,ATR,EMA,EMA,MA,MA,Hiden bar color (Open),Hiden bar color (High,Hiden bar color (Low),Hiden bar color (Close),Volume,Volume MA,Previous Cumulative Volume,Previous Day&#039;s Volume,Cumulative Volume,Previous Cumulative Volume Line,Cumulative Volume Ratio
2020-12-03T20:45:00Z,7.03,7.03,7,7.01,0.03289929,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1860,1866.3,45183,48440,73020,45183,1
2020-12-04T12:00:00Z,6.97,6.99,6.95,6.95,0.034835055,7.383484622,7.448003634,NaN,NaN,NaN,NaN,NaN,NaN,1170,1881.8,31074.5,73020,1170,NaN,0
2020-12-04T12:15:00Z,6.94,7,6.94,7,0.036632551,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1695,1894.2,2504.5,73020,2865,2504.5,1
2020-12-04T12:30:00Z,7,7.01,7,7,0.034730226,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2210,1933.2,3593.5,73020,5075,3593.5,1
2020-12-04T12:45:00Z,7.01,7.06,7,7.06,0.03653521,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1325,1950,5306.5,73020,6400,5306.5,1
2020-12-04T13:00:00Z,7.05,7.05,7.04,7.04,0.035354124,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,450,1948,6536.5,73020,6850,6536.5,1
2020-12-04T13:15:00Z,7.03,7.04,7.03,7.03,0.033543115,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,955,1958.6,7482,73020,7805,7482,1
2020-12-04T13:30:00Z,7.03,7.03,6.96,6.98,0.036147178,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2370,2001.9,8440,73020,10175,8440,1
2020-12-04T13:45:00Z,6.98,7.01,6.98,7,0.035708094,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1380,2006.9,9631.5,73020,11555,9631.5,1
2020-12-04T14:00:00Z,7,7.01,6.99,6.99,0.034586087,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,655,1997.5,10658.5,73020,12210,10658.5,1
2020-12-04T14:15:00Z,6.99,7,6.98,6.98,0.033544224,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,460,1831.4,11974,73020,12670,11974,1
2020-12-04T14:30:00Z,6.99,7,6.99,7,0.032576779,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,670,1816.8,13674.5,73020,13340,NaN,0
2020-12-04T14:45:00Z,7,7,6.99,7,0.030964152,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1665,1825,15021,73020,15005,NaN,0
2020-12-04T15:00:00Z,7.01,7.04,7.01,7.03,0.03160957,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,640,1828.1,16532.5,73020,15645,NaN,0
2020-12-04T15:15:00Z,7.03,7.03,7,7,0.031494601,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,755,1836.2,19172,73020,16400,NaN,0
2020-12-04T15:30:00Z,6.99,6.99,6.96,6.99,0.032102129,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,540,1830.8,20756.5,73020,16940,NaN,0
2020-12-04T15:45:00Z,6.98,7.01,6.98,7,0.031951977,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,520,1809.6,22629.5,73020,17460,NaN,0
2020-12-04T16:00:00Z,7,7,6.97,6.97,0.03181255,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,700,1790.2,23190.5,73020,18160,NaN,0
